symbol,overall_score,canslim_scores,analysis_date,leadership_data,market
COST,6142.9,"{'C': 100, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'COST', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 1056.85, '52w_high': 1076.83, 'distance_from_high': -1.86}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 982.47, 'ma20_slope': 0.6058, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 18.73, 'up_days_ratio': 0.55, 'avg_up_return': 1.06, 'avg_down_return': -0.76, 'strength_ratio': 1.4}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
ABT,6142.9,"{'C': 100, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'ABT', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 133.57, '52w_high': 140.58, 'distance_from_high': -4.99}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 128.75, 'ma20_slope': 0.2015, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 19.6, 'up_days_ratio': 0.45, 'avg_up_return': 0.98, 'avg_down_return': -0.74, 'strength_ratio': 1.33}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",SP500
MSFT,5857.1,"{'C': 100, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'MSFT', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 461.97, '52w_high': 464.79, 'distance_from_high': -0.61}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 409.19, 'ma20_slope': 0.158, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 14.81, 'up_days_ratio': 0.7, 'avg_up_return': 0.72, 'avg_down_return': -0.63, 'strength_ratio': 1.13}}, 'leadership_score': {'score': 3, 'max_score': 6, 'percentage': 50.0, 'grade': 'C'}}",NASDAQ
NFLX,5857.1,"{'C': 100, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'NFLX', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 1218.98, '52w_high': 1219.4, 'distance_from_high': -0.03}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 1008.11, 'ma20_slope': 2.6536, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 23.36, 'up_days_ratio': 0.6, 'avg_up_return': 1.2, 'avg_down_return': -1.11, 'strength_ratio': 1.08}}, 'leadership_score': {'score': 3, 'max_score': 6, 'percentage': 50.0, 'grade': 'C'}}",NASDAQ
ALL,5857.1,"{'C': 100, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'ALL', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 212.64, '52w_high': 212.91, 'distance_from_high': -0.13}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 196.55, 'ma20_slope': 0.1296, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 18.15, 'up_days_ratio': 0.65, 'avg_up_return': 1.01, 'avg_down_return': -0.92, 'strength_ratio': 1.09}}, 'leadership_score': {'score': 3, 'max_score': 6, 'percentage': 50.0, 'grade': 'C'}}",SP500
META,5714.3,"{'C': 70, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'META', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 670.9, '52w_high': 740.25, 'distance_from_high': -9.37}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 618.62, 'ma20_slope': 0.3108, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 35.98, 'up_days_ratio': 0.65, 'avg_up_return': 1.56, 'avg_down_return': -1.15, 'strength_ratio': 1.35}}, 'leadership_score': {'score': 3, 'max_score': 6, 'percentage': 50.0, 'grade': 'C'}}",NASDAQ
ALLE,5428.6,"{'C': 50, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'ALLE', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 139.41, '52w_high': 154.92, 'distance_from_high': -10.01}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 131.76, 'ma20_slope': 0.0959, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 18.05, 'up_days_ratio': 0.4, 'avg_up_return': 1.05, 'avg_down_return': -0.78, 'strength_ratio': 1.35}}, 'leadership_score': {'score': 3, 'max_score': 6, 'percentage': 50.0, 'grade': 'C'}}",SP500
MMM,5142.9,"{'C': 70, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 40, 'M': 40}",2025-06-02,"{'symbol': 'MMM', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 146.4, '52w_high': 155.59, 'distance_from_high': -5.91}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 144.17, 'ma20_slope': 0.2064, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 29.64, 'up_days_ratio': 0.6, 'avg_up_return': 1.28, 'avg_down_return': -1.44, 'strength_ratio': 0.89}}, 'leadership_score': {'score': 2, 'max_score': 6, 'percentage': 33.3, 'grade': 'D'}}",SP500
LNT,5142.9,"{'C': 70, 'A': 20, 'N': 60, 'S': 100, 'L': 30, 'I': 40, 'M': 40}",2025-06-02,"{'symbol': 'LNT', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 62.07, '52w_high': 65.99, 'distance_from_high': -5.94}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 60.89, 'ma20_slope': 0.0331, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 21.83, 'up_days_ratio': 0.65, 'avg_up_return': 0.88, 'avg_down_return': -1.4, 'strength_ratio': 0.63}}, 'leadership_score': {'score': 2, 'max_score': 6, 'percentage': 33.3, 'grade': 'D'}}",SP500
AMZN,5000.0,"{'C': 50, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 100, 'M': 40}",2025-06-02,"{'symbol': 'AMZN', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 206.65, '52w_high': 242.52, 'distance_from_high': -14.79}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 205.64, 'ma20_slope': -0.2205, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 35.23, 'up_days_ratio': 0.55, 'avg_up_return': 1.72, 'avg_down_return': -1.12, 'strength_ratio': 1.54}}, 'leadership_score': {'score': 2, 'max_score': 6, 'percentage': 33.3, 'grade': 'D'}}",NASDAQ
