symbol,overall_score,canslim_total,canslim_scores,analysis_date,leadership_data,market
009540.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '009540.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 312500.0, '52w_high': 318000.0, 'distance_from_high': -1.73}, 'market_performance': {'beta': 1.05, 'relative_strength_3m': 39.47, 'relative_strength_6m': 50.82, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 236821.27, 'ma20_slope': 845.6645, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 42.28, 'up_days_ratio': 0.6, 'avg_up_return': 2.35, 'avg_down_return': -1.7, 'strength_ratio': 1.38}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
267250.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '267250.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 112900.0, '52w_high': 116200.0, 'distance_from_high': -2.84}, 'market_performance': {'beta': 0.65, 'relative_strength_3m': 50.21, 'relative_strength_6m': 37.22, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 78182.79, 'ma20_slope': 87.5165, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 58.02, 'up_days_ratio': 0.65, 'avg_up_return': 3.16, 'avg_down_return': -0.49, 'strength_ratio': 6.44}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
005720.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '005720.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 5780.0, '52w_high': 6050.0, 'distance_from_high': -4.46}, 'market_performance': {'beta': 0.41, 'relative_strength_3m': 20.19, 'relative_strength_6m': 21.1, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 4672.0, 'ma20_slope': 10.0498, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 46.34, 'up_days_ratio': 0.65, 'avg_up_return': 2.49, 'avg_down_return': -1.58, 'strength_ratio': 1.57}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
136490.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '136490.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 10210.0, '52w_high': 10340.0, 'distance_from_high': -1.26}, 'market_performance': {'beta': 0.66, 'relative_strength_3m': 70.08, 'relative_strength_6m': 57.32, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 6145.2, 'ma20_slope': 23.7992, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 72.69, 'up_days_ratio': 0.7, 'avg_up_return': 4.61, 'avg_down_return': -1.31, 'strength_ratio': 3.53}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
005390.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '005390.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 2965.0, '52w_high': 2985.0, 'distance_from_high': -0.67}, 'market_performance': {'beta': 0.34, 'relative_strength_3m': 29.14, 'relative_strength_6m': 37.08, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 2241.65, 'ma20_slope': 5.0549, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 45.85, 'up_days_ratio': 0.65, 'avg_up_return': 2.83, 'avg_down_return': -1.41, 'strength_ratio': 2.01}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
003200.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '003200.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 10550.0, '52w_high': 10670.0, 'distance_from_high': -1.12}, 'market_performance': {'beta': 0.81, 'relative_strength_3m': 24.17, 'relative_strength_6m': 34.98, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 8361.9, 'ma20_slope': 20.8775, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 27.45, 'up_days_ratio': 0.75, 'avg_up_return': 1.55, 'avg_down_return': -0.77, 'strength_ratio': 2.02}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
039490.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '039490.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 162400.0, '52w_high': 168300.0, 'distance_from_high': -3.51}, 'market_performance': {'beta': 1.11, 'relative_strength_3m': 35.65, 'relative_strength_6m': 28.73, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 126748.0, 'ma20_slope': 332.7774, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 34.94, 'up_days_ratio': 0.6, 'avg_up_return': 2.16, 'avg_down_return': -1.05, 'strength_ratio': 2.06}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
005810.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '005810.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 32400.0, '52w_high': 33500.0, 'distance_from_high': -3.28}, 'market_performance': {'beta': 0.69, 'relative_strength_3m': 15.01, 'relative_strength_6m': 25.72, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 27324.05, 'ma20_slope': 58.2927, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 29.27, 'up_days_ratio': 0.5, 'avg_up_return': 2.18, 'avg_down_return': -1.02, 'strength_ratio': 2.15}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
071050.KS,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '071050.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 104900.0, '52w_high': 109800.0, 'distance_from_high': -4.46}, 'market_performance': {'beta': 1.01, 'relative_strength_3m': 25.22, 'relative_strength_6m': 39.73, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 78095.74, 'ma20_slope': 240.107, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 41.19, 'up_days_ratio': 0.65, 'avg_up_return': 2.33, 'avg_down_return': -0.87, 'strength_ratio': 2.68}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
051500.KQ,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '051500.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 26100.0, '52w_high': 26700.0, 'distance_from_high': -2.25}, 'market_performance': {'beta': 0.68, 'relative_strength_3m': 17.31, 'relative_strength_6m': 43.33, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 21936.16, 'ma20_slope': 80.5202, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 29.51, 'up_days_ratio': 0.5, 'avg_up_return': 1.82, 'avg_down_return': -1.37, 'strength_ratio': 1.33}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSDAQ
021320.KQ,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '021320.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 5050.0, '52w_high': 5190.0, 'distance_from_high': -2.7}, 'market_performance': {'beta': 0.45, 'relative_strength_3m': 21.12, 'relative_strength_6m': 22.41, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 4160.1, 'ma20_slope': 7.4095, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 31.58, 'up_days_ratio': 0.65, 'avg_up_return': 1.98, 'avg_down_return': -1.51, 'strength_ratio': 1.31}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSDAQ
218410.KQ,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '218410.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 20900.0, '52w_high': 21200.0, 'distance_from_high': -1.42}, 'market_performance': {'beta': 1.1, 'relative_strength_3m': 24.56, 'relative_strength_6m': 46.69, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 15698.9, 'ma20_slope': 41.6708, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 59.62, 'up_days_ratio': 0.6, 'avg_up_return': 3.63, 'avg_down_return': -1.5, 'strength_ratio': 2.42}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSDAQ
419530.KQ,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '419530.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 78000.0, '52w_high': 79600.0, 'distance_from_high': -2.01}, 'market_performance': {'beta': 0.96, 'relative_strength_3m': 182.33, 'relative_strength_6m': 480.77, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 31832.2, 'ma20_slope': 478.1638, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 136.79, 'up_days_ratio': 0.55, 'avg_up_return': 8.72, 'avg_down_return': -2.06, 'strength_ratio': 4.23}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSDAQ
036620.KQ,78.6,5.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '036620.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 5320.0, '52w_high': 5480.0, 'distance_from_high': -2.92}, 'market_performance': {'beta': 0.6, 'relative_strength_3m': 46.97, 'relative_strength_6m': 70.62, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 3638.55, 'ma20_slope': 14.6922, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 61.98, 'up_days_ratio': 0.8, 'avg_up_return': 3.04, 'avg_down_return': -2.12, 'strength_ratio': 1.43}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSDAQ
475150.KS,64.3,4.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '475150.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 20650.0, '52w_high': 27583.33, 'distance_from_high': -25.14}, 'market_performance': {'beta': 1.58, 'relative_strength_3m': 32.31, 'relative_strength_6m': 44.27, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 15060.8, 'ma20_slope': 65.0971, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 86.99, 'up_days_ratio': 0.45, 'avg_up_return': 5.58, 'avg_down_return': -2.52, 'strength_ratio': 2.21}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
011390.KS,64.3,4.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 0.0, 'M': 0.0}",2025-06-03,"{'symbol': '011390.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 101900.0, '52w_high': 105700.0, 'distance_from_high': -3.6}, 'market_performance': {'beta': 0.64, 'relative_strength_3m': 29.49, 'relative_strength_6m': 77.99, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 81193.0, 'ma20_slope': 227.2992, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 43.41, 'up_days_ratio': 0.65, 'avg_up_return': 1.96, 'avg_down_return': -2.37, 'strength_ratio': 0.83}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
009770.KS,64.3,4.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '009770.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 28650.0, '52w_high': 29000.0, 'distance_from_high': -1.21}, 'market_performance': {'beta': 0.25, 'relative_strength_3m': 5.57, 'relative_strength_6m': 7.83, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 26011.5, 'ma20_slope': 20.8195, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 14.22, 'up_days_ratio': 0.6, 'avg_up_return': 1.1, 'avg_down_return': -0.44, 'strength_ratio': 2.48}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
021820.KS,64.3,4.5,"{'C': 1.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '021820.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 9280.0, '52w_high': 9430.0, 'distance_from_high': -1.59}, 'market_performance': {'beta': 0.58, 'relative_strength_3m': 12.41, 'relative_strength_6m': 19.92, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 8034.6, 'ma20_slope': 14.6726, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 26.37, 'up_days_ratio': 0.45, 'avg_up_return': 1.79, 'avg_down_return': -0.63, 'strength_ratio': 2.82}}, 'leadership_score': {'score': 5, 'max_score': 6, 'percentage': 83.3, 'grade': 'A'}}",KOSPI
011690.KS,64.3,4.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '011690.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 3295.0, '52w_high': 4145.0, 'distance_from_high': -20.51}, 'market_performance': {'beta': 1.14, 'relative_strength_3m': 34.25, 'relative_strength_6m': 36.61, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 2368.12, 'ma20_slope': 8.935, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 82.98, 'up_days_ratio': 0.35, 'avg_up_return': 6.23, 'avg_down_return': -1.84, 'strength_ratio': 3.38}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
025620.KS,64.3,4.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '025620.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 7220.0, '52w_high': 9700.0, 'distance_from_high': -25.57}, 'market_performance': {'beta': 0.36, 'relative_strength_3m': 79.04, 'relative_strength_6m': 62.58, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 5081.05, 'ma20_slope': 36.9524, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 97.12, 'up_days_ratio': 0.45, 'avg_up_return': 5.98, 'avg_down_return': -4.18, 'strength_ratio': 1.43}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
284740.KS,64.3,4.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 1.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '284740.KS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 26300.0, '52w_high': 27700.0, 'distance_from_high': -5.05}, 'market_performance': {'beta': 0.5, 'relative_strength_3m': 12.44, 'relative_strength_6m': 26.05, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 21622.2, 'ma20_slope': 62.5569, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 43.0, 'up_days_ratio': 0.4, 'avg_up_return': 3.1, 'avg_down_return': -0.89, 'strength_ratio': 3.49}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSPI
